time,en_naziv,vseh,ostalo,demokrati,job_name,job_version,job_timestamp
2026-03-24 01:05:10,VE 1000 - KRANJ,181498,74254,62904,main.py,5,2026-03-24 01:05:10
2026-03-24 01:05:10,VE 2000 - POSTOJNA,167052,74406,43563,main.py,5,2026-03-24 01:05:10
2026-03-24 01:05:10,VE 3000 - LJUBLJANA CENTER,205843,94775,62377,main.py,5,2026-03-24 01:05:10
2026-03-24 01:05:10,VE 4000 - LJUBLJANA BEŽIGRAD,196665,85783,60477,main.py,5,2026-03-24 01:05:10
2026-03-24 01:05:10,VE 5000 - CELJE,199685,75654,71790,main.py,5,2026-03-24 01:05:10
2026-03-24 01:05:10,VE 6000 - NOVO MESTO,188610,74674,61240,main.py,5,2026-03-24 01:05:10
2026-03-24 01:05:10,VE 7000 - MARIBOR,192688,74877,61477,main.py,5,2026-03-24 01:05:10
2026-03-24 01:05:10,VE 8000 - PTUJ,193254,68995,65458,main.py,5,2026-03-24 01:05:10
